,2000_cases,2001_cases,2002_cases,2003_cases,2004_cases,2005_cases,2006_cases,2007_cases,2008_cases,2009_cases,2010_cases,2011_cases,2012_cases,2013_cases,2014_cases,2015_cases,2016_cases,2017_cases,2018_cases,2019_cases,2020_cases,2021_cases,2022_cases,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop
THAILAND,18812.0,140107.0,115353.0,62925.0,38535.0,46092.0,42575.0,63234.0,89946.0,25371.0,53149.0,29759.0,25316.0,87502.0,23170.0,86653.0,38466.0,31843.0,55076.0,87866.0,50911.0,7778.0,34605.0,19759.915,20682.166,21614.402,22555.867,23510.333,24476.532,25455.995,26444.821,27444.724,28453.448,29475.114,30184.47,30831.808,31477.014,32116.66,32745.68,33362.84,33966.456,34556.078,35132.892,35698.325,36252.084,36793.252
TIMOR-LESTE,0.0,0.0,0.0,0.0,434.0,1128.0,162.0,227.0,108.0,175.0,433.0,302.0,751.0,502.0,,,,,,,1451.0,901.0,2374.0,211.48,219.734,230.763,243.504,256.25,267.304,276.56,284.447,291.609,299.091,307.717,317.718,328.847,340.853,353.335,365.966,378.697,391.642,404.88,418.517,432.649,447.281,462.385
TONGA,0.0,0.0,0.0,80.0,3.0,,,62.0,195.0,273.0,30.0,,,,51.0,1559.0,,103.0,381.0,4.0,1.0,0.0,1230.0,22.571,22.721,22.881,23.049,23.221,23.396,23.576,23.775,23.981,24.176,24.357,24.516,24.595,24.627,24.677,24.756,24.876,25.027,25.215,25.428,25.648,25.875,26.116
TRINIDAD AND TOBAGO,2066.0,2244.0,6246.0,2289.0,546.0,411.0,37.0,47.0,2366.0,24.0,2497.0,1243.0,0.0,0.0,,,99.0,5.0,,230.0,0.0,0.0,6.0,708.868,708.944,709.588,710.629,711.789,712.883,713.844,714.729,715.584,716.493,717.501,718.595,720.039,721.712,723.47,725.194,726.847,728.446,730.005,731.559,733.146,734.748,736.374
TURKS AND CAICOS ISLANDS,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,5.0,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.957,17.23,18.7,20.275,21.821,23.207,24.403,25.432,26.325,27.151,27.965,28.77,29.541,30.288,30.99,31.659,32.288,32.9,33.481,34.04,34.59,35.13,35.66
UNITED STATES OF AMERICA,,96.0,29.0,40.0,,,143.0,488.0,0.0,3.0,65.0,7.0,186.0,552.0,659.0,945.0,990.0,453.0,331.0,1158.0,306.0,114.0,1070.0,222927.913,225698.564,228306.012,230813.194,233319.404,235892.407,238558.001,241285.684,244029.055,246715.308,249297.076,251775.947,254174.664,256527.51,258885.743,261287.811,263743.312,266243.516,268786.714,271365.914,273975.139,276615.118,279286.931
URUGUAY,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1769.0,0.0,0.0,0.0,4.0,0.0,,3056.474,3071.013,3080.503,3087.108,3093.991,3103.429,3116.287,3131.979,3149.714,3168.033,3185.92,3203.198,3218.089,3232.264,3246.699,3261.533,3276.757,3292.209,3307.662,3322.873,3337.671,3351.956,3365.738
VANUATU,0.0,20.0,15.0,122.0,26.0,2.0,168.0,82.0,96.0,45.0,105.0,,,,,,,275.0,247.0,69.0,16.0,44.0,2382.0,40.109,41.554,43.127,44.808,46.562,48.362,50.206,52.1,54.049,56.048,57.802,59.406,61.032,62.679,64.352,66.048,67.768,69.511,71.301,73.139,75.025,76.962,78.95
VENEZUELA,21130.0,83180.0,37676.0,26996.0,30693.0,42198.0,39860.0,80646.0,48048.0,65869.0,123967.0,31551.0,45015.0,64834.0,73912.0,1251.0,29268.0,8688.0,19226.0,15963.0,6592.0,5926.0,9941.0,21441.865,21917.236,22328.166,22738.97,23149.025,23557.733,23964.977,24370.499,24773.556,25173.188,25568.72,25959.66,26342.614,26720.13,27094.003,27464.635,27832.085,28198.251,28562.719,28924.869,29284.219,29640.551,29993.895
VIET NAM,25269.0,42878.0,31760.0,49751.0,78692.0,57080.0,68792.0,104553.0,96451.0,105370.0,128831.0,,82838.0,132642.0,61029.0,194235.0,201258.0,324219.0,251610.0,579772.0,,,,19568.59,20234.23,20907.601,21590.816,22288.057,23000.555,23731.457,24481.574,25256.002,26061.24,26910.696,27796.941,28720.142,29672.223,30646.691,31635.369,32635.787,33642.498,34658.961,35686.73,36727.248,37779.862,38841.525
VIRGIN ISLANDS (UK),3.0,23.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,65.0,9.0,939.0,12.0,223.0,7.0,0.0,0.0,7.0,57.0,45.0,0.0,0.0,0.0,8.624,8.866,9.113,9.375,9.672,10.011,10.403,10.84,11.305,11.763,12.2,12.598,12.972,13.324,13.674,14.028,14.397,14.767,15.137,15.496,15.832,16.147,16.438
