,2000_cases,2001_cases,2002_cases,2003_cases,2004_cases,2005_cases,2006_cases,2007_cases,2008_cases,2009_cases,2010_cases,2011_cases,2012_cases,2013_cases,2014_cases,2015_cases,2016_cases,2017_cases,2018_cases,2019_cases,2020_cases,2021_cases,2022_cases,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop
FRENCH POLYNESIA,36.0,32800.0,230.0,47.0,59.0,50.0,818.0,1897.0,176.0,2479.0,250.0,,,1569.0,4228.0,1012.0,,7.0,270.0,3130.0,242.0,,198.0,261.653,265.273,268.33799999999997,272.052,276.035,279.58,282.63599999999997,285.20500000000004,287.471,289.678,292.006,294.48900000000003,297.009,298.426,299.81399999999996,301.3880000000001,303.192,305.232,307.4,309.572,311.60299999999995,313.427,315.12499999999994
GRENADA,27.0,12.0,84.0,17.0,7.0,0.0,22.0,0.0,6.0,23.0,378.0,212.0,162.0,383.0,92.0,7.0,72.0,186.0,404.0,109.0,259.0,0.0,66.0,36.276,36.584,36.668,36.76,36.855,36.954,37.059,37.17,37.287,37.412,37.543,37.679,37.835,38.017,38.224,38.453,38.712,38.994,39.297,39.608,39.938,40.276,40.618
GUADELOUPE,60.0,0.0,93.0,495.0,0.0,3364.0,2948.0,3266.0,277.0,2234.0,41100.0,101.0,1032.0,12706.0,0.0,35.0,9.0,15.0,357.0,1240.0,19147.0,540.0,71.0,417.852,421.368,424.457,427.244,429.895,432.519,435.181,437.796,440.2,442.17,443.55,444.289,444.468,444.238,443.825,443.405,443.011,442.657,442.318,442.002,441.694,441.412,441.171
GUATEMALA,9006.0,4516.0,7599.0,6750.0,6352.0,6341.0,2428.0,5886.0,3230.0,10438.0,17045.0,2565.0,9252.0,11736.0,19764.0,11516.0,8243.0,4214.0,7592.0,50886.0,5983.0,2861.0,8407.0,5281.459,5445.865,5616.683,5789.994,5965.383,6143.708,6324.779,6508.761,6695.971,6886.723,7081.513,7280.286,7482.817,7690.609,7903.575,8121.457,8344.199,8571.832,8804.376,9041.859,9284.293,9531.638,9783.81
GUYANA,19.0,60.0,202.0,33.0,47.0,178.0,118.0,201.0,324.0,994.0,1468.0,1093.0,2189.0,1120.0,0.0,15.0,1.0,0.0,1.0,0.0,,36.0,,216.152,215.193,214.424,212.827,210.941,208.931,206.755,204.49,202.288,200.36,198.836,197.762,198.816,200.133,201.641,203.204,204.79,206.425,208.123,209.914,211.821,213.839,215.949
HONDURAS,13642.0,19077.0,322269.0,16599.0,19971.0,18843.0,8436.0,33508.0,18941.0,15291.0,66814.0,8297.0,15554.0,39360.0,42594.0,44834.0,18450.0,5226.0,8187.0,132905.0,24132.0,19753.0,19046.0,2965.811,3076.391,3198.899,3324.702,3452.724,3582.399,3713.768,3846.671,3980.896,4115.946,4251.823,4388.211,4525.19,4662.918,4802.219,4943.275,5086.183,5230.757,5376.802,5523.992,5672.054,5820.871,5970.36
HONG KONG,0.0,0.0,64.0,49.0,31.0,31.0,31.0,58.0,42.0,43.0,87.0,30.0,0.0,103.0,115.0,117.0,128.0,103.0,192.0,199.0,1.0,0.0,0.0,6663.654,6722.306,6759.491,6782.571,6802.597,6827.761,6860.376,6898.397,6940.323,6983.272,7025.221,7065.815,7106.399,7148.571,7194.563,7245.701,7302.843,7364.883,7428.887,7490.776,7547.652,7598.189,7643.256
INDIA,650.0,3306.0,1926.0,12754.0,4153.0,11985.0,12317.0,5530.0,12540.0,15535.0,1252.0,18860.0,37070.0,,,99913.0,129166.0,188401.0,101192.0,157315.0,44585.0,193245.0,233251.0,291350.282,299138.807,307805.144,316585.269,325483.057,334479.406,343589.817,352799.379,362088.139,371405.723,380744.554,390082.225,399552.347,409174.674,419001.673,429069.459,439391.699,449963.381,460779.764,471828.295,483098.64,494589.933,506304.869
INDONESIA,33443.0,45904.0,40377.0,51934.0,148567.0,157416.0,106425.0,157442.0,155607.0,156052.0,127619.0,65725.0,90245.0,112511.0,100347.0,129650.0,204171.0,68407.0,,138127.0,108303.0,73518.0,,88851.487,91771.693,94763.872,97826.125,100959.67,104155.654,107420.813,110751.705,114147.71,117596.639,121052.98,124314.824,127617.869,130944.421,134287.882,137634.761,140972.925,144294.861,147603.006,150900.39,154188.546,157464.948,160724.456
JAMAICA,25.0,39.0,90.0,52.0,9.0,46.0,79.0,1448.0,359.0,70.0,2827.0,408.0,4670.0,863.0,878.0,29.0,1652.0,219.0,1034.0,7382.0,853.0,76.0,80.0,1376.634,1393.476,1408.386,1422.372,1436.006,1449.489,1462.883,1476.111,1489.115,1501.785,1514.064,1525.934,1537.884,1549.954,1562.23,1574.768,1587.568,1600.602,1613.815,1627.119,1640.435,1653.746,1667.032
JAPAN,18.0,50.0,52.0,32.0,49.0,74.0,58.0,89.0,101.0,92.0,145.0,,,249.0,341.0,293.0,338.0,245.0,201.0,463.0,,,,100303.716,102165.938,104428.752,106547.065,108520.519,110340.709,111887.819,113271.669,114542.316,115696.464,116741.034,117029.015,117058.372,117055.095,117017.577,116944.428,116835.097,116693.276,116521.525,116322.813,116099.672,115853.245,115583.843
KIRIBATI,0.0,0.0,483.0,1660.0,0.0,0.0,0.0,0.0,831.0,7.0,20.0,4.0,,,,,0.0,40.0,3392.0,2.0,0.0,2.0,2662.0,36.259,37.325,37.988,38.68,39.415,40.209,41.503,43.211,44.993,46.811,48.647,50.481,52.328,54.188,56.083,58.024,60.0,61.996,64.011,66.036,68.069,70.1,72.129
LAO PEOPLE'S DEMOCRATIC REPUBLIC,1377.0,3968.0,9176.0,17690.0,3972.0,6152.0,7114.0,5391.0,4487.0,7804.0,22929.0,3816.0,10146.0,50475.0,3638.0,3745.0,11254.0,22099.0,12764.0,77986.0,7692.0,1340.0,29014.0,1171.236,1244.999,1321.748,1401.957,1486.517,1564.297,1623.065,1684.769,1748.658,1813.299,1877.89,1941.861,2005.615,2069.93,2136.475,2206.33,2279.99,2356.986,2436.711,2518.056,2600.131,2682.637,2765.699
MALAYSIA,8805.0,16368.0,32767.0,31545.0,33895.0,39686.0,38556.0,48846.0,49335.0,73770.0,88584.0,39924.0,23088.0,87208.0,214191.0,242455.0,209958.0,176568.0,165011.0,260383.0,87171.0,26978.0,65732.0,14369.654,14911.85,15452.419,15993.282,16537.812,17087.554,17642.481,18201.417,18767.682,19344.402,19934.949,20505.204,21083.027,21665.249,22240.775,22800.563,23340.549,23859.45,24363.73,24862.312,25361.963,25864.286,26366.66
MALDIVES,180.0,73.0,27.0,38.0,742.0,1126.0,5545.0,3351.0,3300.0,1619.0,1000.0,2909.0,1083.0,725.0,824.0,1890.0,1962.0,851.0,1838.0,2156.0,328.0,,,77.683,82.833,88.426,94.447,100.857,107.606,113.904,118.298,122.874,127.694,132.805,138.232,143.926,149.76,155.568,161.207,166.627,171.827,176.851,181.769,186.634,191.444,196.187
MARTINIQUE,171.0,4471.0,392.0,791.0,0.0,6083.0,4086.0,5082.0,586.0,1378.0,37100.0,275.0,1269.0,7040.0,0.0,30.0,16.0,111.0,73.0,480.0,32282.0,1073.0,13.0,347.193,349.571,351.533,353.052,354.112,354.729,354.89,354.634,353.982,352.98,351.666,350.026,348.116,346.181,344.521,343.326,342.721,342.625,342.898,343.282,343.595,343.798,343.934
MEXICO,21715.0,6401.0,9844.0,6996.0,8202.0,16862.0,27287.0,48436.0,31154.0,249763.0,57971.0,67918.0,165749.0,231712.0,124729.0,219593.0,130069.0,89961.0,78642.0,268494.0,120514.0,36742.0,57731.0,76007.411,77346.472,78647.444,79950.936,81313.48,82773.323,84348.11,86024.318,87771.378,89539.202,91292.115,93021.907,94735.78,96434.989,98125.896,99812.701,101492.232,103158.751,104811.498,106450.227,108074.41,109682.937,111274.113
MICRONESIA (FEDERATED STATES OF),14.0,0.0,0.0,0.0,658.0,,0.0,6.0,10.0,37.0,23.0,,,217.0,,,90.0,14.0,38.0,1995.0,13.0,15.0,2734.0,326.49100000000004,329.39599999999996,330.742,331.20599999999996,331.34999999999997,331.27000000000004,331.473,331.91200000000003,332.515,333.543,335.193,337.58099999999996,340.719,344.416,348.426,352.58,356.817,361.171,365.586,370.077,374.60600000000005,379.12699999999995,383.649
MONTSERRAT,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.103,0.428,0.414,0.421,0.436,0.446,0.451,0.453,0.453,0.452,0.452,0.455,0.457,0.459,0.461,0.463,0.466,0.468,0.472,0.474,0.478,0.482,0.486
MYANMAR,1222.0,15503.0,15663.0,6792.0,6624.0,16965.0,10392.0,14658.0,17281.0,23681.0,15631.0,4297.0,5606.0,21366.0,13480.0,42540.0,10023.0,30709.0,22659.0,,,,,12457.527,12686.44,12912.214,13132.634,13345.374,13548.744,13741.453,13924.916,14105.265,14290.552,14487.449,14698.256,14921.72,15155.252,15395.307,15646.537,15908.841,16183.083,16468.361,16763.626,17068.066,17381.064,17702.521
NEPAL,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,10.0,30.0,917.0,79.0,183.0,642.0,356.0,26.0,1523.0,1201.0,230.0,12100.0,,530.0,,3180.501,3369.88,3498.199,3627.212,3756.147,3884.136,4010.912,4136.836,4263.906,4394.555,4531.339,4675.252,4827.029,4985.633,5149.63,5317.799,5489.899,5666.428,5847.671,6034.147,6226.233,6423.994,6627.181
NEW CALEDONIA,15.0,34.0,105.0,5673.0,792.0,46.0,48.0,47.0,1179.0,8610.0,113.0,,743.0,20625.0,,,,8624.0,4038.0,7794.0,59.0,138.0,518.0,131.807,135.164,138.472,141.737,144.977,148.837,152.827,156.819,160.823,164.835,168.452,172.058,175.69,179.339,183.01,186.694,190.387,194.085,197.787,201.492,205.195,208.889,212.585
NICARAGUA,7317.0,2333.0,2269.0,2990.0,9331.0,14749.0,10617.0,12278.0,8666.0,18063.0,25174.0,11888.0,30878.0,77606.0,34998.0,49326.0,88463.0,69472.0,59315.0,186405.0,52464.0,36741.0,97541.0,2774.059,2822.479,2869.477,2915.658,2961.873,3008.904,3059.288,3110.511,3162.305,3214.159,3265.767,3317.045,3368.137,3419.082,3470.072,3521.191,3572.493,3624.78,3677.985,3731.933,3786.513,3841.629,3897.35
PALAU,1208.0,863.0,45.0,15.0,37.0,,28.0,80.0,204.0,4.0,9.0,,,9.0,13.0,,,1121.0,1002.0,2162.0,63.0,5.0,122.0,13.487,13.601,13.672,13.711,13.939,14.163,14.391,14.615,14.845,15.075,15.315,15.555,15.816,16.079,16.351,16.638,16.939,17.245,17.556,17.869,18.175,18.482,18.79
